date,country,amount_storage,consumption,amount_storage_perc,trend,injection,withdrawal,technical_capacity,injection_capacity,withdrawal_capacity
2011-01-29,Ірландія,,48.0,,,,,,,
2011-01-29,Іспанія,12.8333,336.0,45.85,-0.39,0.0,108.4,27.988,105.28,147.87
2011-01-29,Італія,107.6104,742.0,68.18,-0.23,0.0,357.1,157.8407,1422.78,2462.5
2011-01-29,Латвія,10.5457,15.0,43.54,-0.42,0.0,102.8,24.219,0.0,279.91
2011-01-29,Нідерланди,73.8887,409.0,70.68,-0.49,20.15,533.5,104.5341,699.28,2209.87
2011-01-29,Німеччина,38.7596,809.0,51.68,-0.65,0.0,490.1,74.9935,1090.99,1890.54
2011-01-29,Польща,5.2173,165.0,67.29,-1.71,0.0,132.4,7.753,134.24,319.32
2011-01-29,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-29,Румунія,,129.0,,,,,,,
2011-01-29,Словаччина,17.4822,54.0,58.66,-0.68,0.0,204.0,29.8013,290.06,353.69
2011-01-29,Угорщина,42.8042,109.0,63.77,-0.59,0.0,394.9,67.1254,473.13,832.72
2011-01-29,Франція,14.0949,430.0,43.87,-0.48,0.0,154.3,32.1287,255.64,511.27
2011-01-29,Хорватія,,30.0,,,,,,,
2011-01-29,Чеська Республіка,13.1302,79.0,52.21,-0.64,0.0,160.3,25.1492,312.58,427.68
2011-01-29,Швеція,,12.0,,,,,,,
2011-01-30,Австрія,19.0328,90.0,46.91,-0.45,4.0,187.9,40.5749,397.47,494.15
2011-01-30,Бельгія,4.1211,165.0,50.12,-1.21,0.0,99.7,8.2227,83.29,170.86
2011-01-30,Болгарія,3.8025,31.0,60.65,-0.61,0.0,37.9,6.27,47.88,39.9
2011-01-30,Великобританія,,819.0,,,,,,,
2011-01-30,Данія,7.9811,43.0,64.22,-0.12,19.57,34.1,12.4273,94.16,207.3
2011-01-30,Ірландія,,48.0,,,,,,,
2011-01-30,Іспанія,12.7252,336.0,45.47,-0.39,0.0,108.1,27.988,105.28,147.87
2011-01-30,Італія,107.389,742.0,68.04,-0.14,0.0,221.4,157.8407,1422.78,2462.5
2011-01-30,Латвія,10.4378,15.0,43.1,-0.45,0.0,107.9,24.219,0.0,279.91
2011-01-30,Нідерланди,73.2858,409.0,70.11,-0.5,11.11,537.1,104.5341,699.28,2209.87
