date,hub_name,price_with_vat,price_without_vat
2017-02-21,TTF,7891.2,6576.0
2017-02-21,Gaspool,8046.2,6705.17
2017-02-21,NCG,8100.27,6750.22
2017-02-21,CEGH,8316.54,6930.45
2017-02-22,TTF,7851.22,6542.68
2017-02-22,Gaspool,7869.12,6557.6
2017-02-22,NCG,8148.37,6790.31
2017-02-22,CEGH,8209.23,6841.02
2017-02-23,TTF,8045.66,6704.72
2017-02-23,Gaspool,7938.78,6615.65
2017-02-23,NCG,8170.35,6808.62
2017-02-23,CEGH,8109.79,6758.16
2017-02-24,TTF,7747.62,6456.35
2017-02-24,Gaspool,8015.69,6679.74
2017-02-24,NCG,7915.61,6596.34
2017-02-24,CEGH,8233.72,6861.43
2017-02-27,TTF,7677.87,6398.22
2017-02-27,Gaspool,7936.77,6613.97
2017-02-27,NCG,7918.79,6598.99
2017-02-27,CEGH,8170.49,6808.74
2017-02-28,TTF,7637.91,6364.92
2017-02-28,Gaspool,7799.84,6499.87
2017-02-28,NCG,7781.85,6484.87
2017-02-28,CEGH,8040.95,6700.79
2017-03-01,TTF,7693.92,6411.6
2017-03-01,Gaspool,7639.67,6366.39
2017-03-01,NCG,7885.6,6571.33
2017-03-01,CEGH,7936.23,6613.52
2017-03-02,TTF,7607.91,6339.92
2017-03-02,Gaspool,7665.46,6387.88
2017-03-02,NCG,7773.37,6477.81
2017-03-02,CEGH,8046.75,6705.62
2017-03-03,TTF,7455.45,6212.87
2017-03-03,Gaspool,7555.65,6296.37
2017-03-03,NCG,7616.49,6347.07
2017-03-03,CEGH,7867.0,6555.83
2017-03-06,TTF,7544.16,6286.8
2017-03-06,Gaspool,7605.36,6337.8
2017-03-06,NCG,7785.35,6487.79
2017-03-06,CEGH,7853.74,6544.78
2017-03-07,TTF,7380.47,6150.39
2017-03-07,Gaspool,7632.19,6360.16
2017-03-07,NCG,7560.27,6300.22
2017-03-07,CEGH,7761.64,6468.03
2017-03-09,TTF,7227.68,6023.07
2017-03-09,Gaspool,7299.33,6082.77
2017-03-09,NCG,7388.89,6157.41
2017-03-09,CEGH,7643.23,6369.36
2017-03-10,TTF,7180.12,5983.43
2017-03-10,Gaspool,7411.98,6176.65
2017-03-10,NCG,7465.48,6221.23
2017-03-10,CEGH,7579.63,6316.36
2017-03-13,TTF,7128.31,5940.26
2017-03-13,Gaspool,7367.67,6139.72
2017-03-13,NCG,7314.08,6095.07
2017-03-13,CEGH,7592.74,6327.28
2017-03-14,TTF,7230.26,6025.22
2017-03-14,Gaspool,7259.08,6049.23
2017-03-14,NCG,7374.38,6145.32
2017-03-14,CEGH,7565.34,6304.45
2017-03-15,TTF,7147.69,5956.41
2017-03-15,Gaspool,7284.24,6070.2
2017-03-15,NCG,7366.9,6139.08
2017-03-15,CEGH,7571.73,6309.77
2017-03-16,TTF,7121.38,5934.48
2017-03-16,Gaspool,7264.88,6054.07
2017-03-16,NCG,7325.86,6104.88
2017-03-16,CEGH,7598.5,6332.08
2017-03-17,TTF,7202.53,6002.11
2017-03-17,Gaspool,7220.71,6017.26
2017-03-17,NCG,7384.31,6153.59
2017-03-17,CEGH,7642.45,6368.71
2017-03-20,TTF,7081.96,5901.63
2017-03-20,Gaspool,7190.87,5992.39
2017-03-20,NCG,7263.47,6052.89
2017-03-20,CEGH,7640.99,6367.49
2017-03-21,TTF,7129.24,5941.03
2017-03-21,Gaspool,7194.62,5995.52
2017-03-21,NCG,7332.65,6110.54
2017-03-21,CEGH,7528.79,6273.99
2017-03-22,TTF,7125.21,5937.67
2017-03-22,Gaspool,7289.2,6074.33
2017-03-22,NCG,7318.35,6098.62
2017-03-22,CEGH,7500.56,6250.47
2017-03-23,TTF,7055.22,5879.35
2017-03-23,Gaspool,7230.67,6025.56
2017-03-23,NCG,7340.33,6116.94
2017-03-23,CEGH,7534.05,6278.37
2017-03-24,TTF,6968.34,5806.95
2017-03-24,Gaspool,7298.35,6081.96
2017-03-24,NCG,7188.34,5990.28
2017-03-24,CEGH,7533.02,6277.52
2017-03-27,TTF,6934.55,5778.79
2017-03-27,Gaspool,7052.39,5876.99
2017-03-27,NCG,7070.8,5892.33
2017-03-27,CEGH,7490.58,6242.15
2017-03-28,TTF,6944.48,5787.07
2017-03-28,Gaspool,7055.93,5879.94
2017-03-28,NCG,7148.8,5957.33
2017-03-28,CEGH,7382.83,6152.36
2017-03-29,TTF,7066.08,5888.4
2017-03-29,Gaspool,7029.08,5857.57
2017-03-29,NCG,7276.99,6064.16
2017-03-29,CEGH,7450.9,6209.08
2017-03-30,TTF,7225.52,6021.27
2017-03-30,Gaspool,7105.02,5920.85
2017-03-30,NCG,7378.88,6149.07
2017-03-30,CEGH,7528.58,6273.82
2017-03-31,TTF,7070.43,5892.02
2017-03-31,Gaspool,7208.71,6007.26
2017-03-31,NCG,7379.75,6149.79
2017-03-31,CEGH,7612.65,6343.87
2017-04-03,TTF,7336.9,6114.08
2017-04-03,Gaspool,7217.13,6014.27
2017-04-03,NCG,7474.83,6229.02
2017-04-03,CEGH,7492.98,6244.15
2017-04-04,TTF,7300.13,6083.44
2017-04-04,Gaspool,7354.43,6128.69
2017-04-04,NCG,7463.03,6219.19
2017-04-04,CEGH,7683.83,6403.19
2017-04-05,TTF,7409.85,6174.87
2017-04-05,Gaspool,7427.99,6189.99
2017-04-05,NCG,7500.57,6250.47
2017-04-05,CEGH,7696.54,6413.78
2017-04-06,TTF,7321.44,6101.2
2017-04-06,Gaspool,7601.98,6334.98
2017-04-06,NCG,7481.74,6234.78
2017-04-06,CEGH,7729.49,6441.24
2017-04-07,TTF,7160.4,5967.0
2017-04-07,Gaspool,7352.88,6127.4
2017-04-07,NCG,7305.66,6088.05
2017-04-07,CEGH,7650.67,6375.56
2017-04-10,TTF,7104.33,5920.27
2017-04-10,Gaspool,7158.36,5965.3
2017-04-10,NCG,7255.63,6046.36
2017-04-10,CEGH,7493.4,6244.5
2017-04-11,TTF,7078.76,5898.97
2017-04-11,Gaspool,7114.56,5928.8
2017-04-11,NCG,7204.04,6003.37
2017-04-11,CEGH,7397.34,6164.45
2017-04-12,TTF,7121.03,5934.19
2017-04-12,Gaspool,7146.14,5955.12
2017-04-12,NCG,7217.89,6014.91
2017-04-12,CEGH,7451.05,6209.21
2017-04-13,TTF,7098.54,5915.45
2017-04-13,Gaspool,7145.09,5954.24
2017-04-13,NCG,7313.4,6094.5
2017-04-13,CEGH,7420.82,6184.02
2017-04-14,TTF,7111.29,5926.07
2017-04-14,NCG,7290.68,6075.57
2017-04-18,TTF,7348.15,6123.46
2017-04-18,Gaspool,7251.46,6042.88
2017-04-18,NCG,7580.91,6317.42
2017-04-18,CEGH,7509.29,6257.74
2017-04-19,TTF,7337.15,6114.29
2017-04-19,Gaspool,7643.39,6369.49
2017-04-19,NCG,7578.54,6315.45
2017-04-19,CEGH,7787.5,6489.58
2017-04-20,TTF,7295.04,6079.2
2017-04-20,Gaspool,7500.79,6250.66
2017-04-20,NCG,7475.52,6229.6
2017-04-20,CEGH,7764.28,6470.23
2017-04-21,TTF,7473.0,6227.5
2017-04-21,Gaspool,7451.33,6209.44
2017-04-21,NCG,7516.35,6263.62
2017-04-21,CEGH,7700.57,6417.14
2017-04-24,TTF,7324.02,6103.35
2017-04-24,Gaspool,7352.76,6127.3
2017-04-24,NCG,7550.39,6291.99
2017-04-24,CEGH,7794.72,6495.6
2017-04-25,TTF,7335.63,6113.02
2017-04-25,Gaspool,7626.46,6355.38
2017-04-25,NCG,7586.47,6322.06
2017-04-25,CEGH,7786.42,6488.68
2017-04-26,TTF,7468.18,6223.48
2017-04-26,Gaspool,7566.57,6305.47
2017-04-26,NCG,7613.94,6344.95
2017-04-26,CEGH,7650.39,6375.32
2017-04-27,TTF,7366.45,6138.71
2017-04-27,Gaspool,7548.4,6290.33
2017-04-27,NCG,7566.6,6305.5
2017-04-27,CEGH,7752.18,6460.15
2017-04-28,TTF,7493.61,6244.67
2017-04-28,Gaspool,7540.8,6284.0
2017-04-28,NCG,7475.46,6229.55
2017-04-28,CEGH,7700.51,6417.09
2017-05-03,TTF,7546.49,6288.74
2017-05-03,Gaspool,7663.21,6386.01
2017-05-03,NCG,7582.97,6319.14
2017-05-03,CEGH,7871.12,6559.27
2017-05-04,TTF,7346.72,6122.27
2017-05-04,Gaspool,7554.12,6295.1
2017-05-04,NCG,7503.18,6252.65
2017-05-04,CEGH,7805.19,6504.32
2017-05-05,TTF,7305.02,6087.52
2017-05-05,Gaspool,7486.82,6239.02
2017-05-05,NCG,7359.56,6132.97
2017-05-05,CEGH,7686.81,6405.67
2017-05-10,TTF,7314.78,6095.65
2017-05-10,Gaspool,7435.25,6196.04
2017-05-10,NCG,7533.82,6278.18
2017-05-10,CEGH,7628.74,6357.28
2017-05-11,TTF,7015.15,5845.96
2017-05-11,Gaspool,7394.94,6162.45
